            sIP|            dIP|sPort|dPort|pro|   packets|     bytes|   flags|                  sTime| duration|                  eTime|sen|
 10.252.108.212| 10.252.108.255|  137|  137| 17|         9|       702|        |2014/12/12T05:38:06.563|   81.050|2014/12/12T05:39:27.613| S2|
 10.252.108.212| 10.252.108.255|  138|  138| 17|         2|       464|        |2014/12/12T05:21:18.781|  250.685|2014/12/12T05:25:29.466| S2|
 10.252.108.212|    224.0.0.252|62579| 5355| 17|         2|       104|        |2014/12/12T05:48:56.677|    0.409|2014/12/12T05:48:57.086| S2|
 10.252.108.212|    224.0.0.252|52759| 5355| 17|         2|       100|        |2014/12/12T05:49:28.380|    0.411|2014/12/12T05:49:28.791| S2|
 10.252.108.212|    224.0.0.252|61509| 5355| 17|         2|       100|        |2014/12/12T05:49:28.381|    0.410|2014/12/12T05:49:28.791| S2|
 10.252.108.212| 10.252.108.255|  137|  137| 17|         6|       468|        |2014/12/12T05:48:56.676|   33.208|2014/12/12T05:49:29.884| S2|
 10.252.108.212| 10.252.108.255|  137|  137| 17|         3|       234|        |2014/12/12T05:59:30.651|    1.507|2014/12/12T05:59:32.158| S2|
 10.252.108.212|    224.0.0.252|50579| 5355| 17|         2|       100|        |2014/12/12T05:59:30.652|    0.411|2014/12/12T05:59:31.063| S2|
 10.252.108.212|    224.0.0.252|58889| 5355| 17|         2|       100|        |2014/12/12T05:59:30.652|    0.411|2014/12/12T05:59:31.063| S2|
 10.252.108.212| 10.252.108.255|  138|  138| 17|         1|       229|        |2014/12/12T05:13:31.884|    0.000|2014/12/12T05:13:31.884| S2|
 10.252.108.212|    224.0.0.252|62512| 5355| 17|         2|       100|        |2014/12/12T05:19:48.505|    0.410|2014/12/12T05:19:48.915| S2|
 10.252.108.212|    224.0.0.252|54517| 5355| 17|         2|       100|        |2014/12/12T05:19:48.505|    0.410|2014/12/12T05:19:48.915| S2|
 10.252.108.212| 10.252.108.255|  137|  137| 17|         3|       234|        |2014/12/12T05:19:48.505|    1.499|2014/12/12T05:19:50.004| S2|
 10.252.108.212|    224.0.0.252|50896| 5355| 17|         2|       100|        |2014/12/12T06:38:10.570|    0.413|2014/12/12T06:38:10.983| S1|
 10.252.108.212|    224.0.0.252|61503| 5355| 17|         2|       100|        |2014/12/12T06:38:10.571|    0.412|2014/12/12T06:38:10.983| S1|
 10.252.108.212|    224.0.0.252|61467| 5355| 17|         2|       100|        |2014/12/12T06:38:27.843|    0.410|2014/12/12T06:38:28.253| S1|
 10.252.108.212|    224.0.0.252|53414| 5355| 17|         2|       100|        |2014/12/12T06:38:27.843|    0.410|2014/12/12T06:38:28.253| S1|
 10.252.108.212|    224.0.0.252|62092| 5355| 17|         2|       100|        |2014/12/12T06:39:30.112|    0.411|2014/12/12T06:39:30.523| S1|
 10.252.108.212|    224.0.0.252|50180| 5355| 17|         2|       100|        |2014/12/12T06:39:30.112|    0.411|2014/12/12T06:39:30.523| S1|
 10.252.108.212|    224.0.0.252|49235| 5355| 17|         2|       100|        |2014/12/12T06:59:34.650|    0.411|2014/12/12T06:59:35.061| S1|
 10.252.108.212|    224.0.0.252|56640| 5355| 17|         2|       100|        |2014/12/12T06:59:34.651|    0.410|2014/12/12T06:59:35.061| S1|
 10.252.108.212|    224.0.0.252|58481| 5355| 17|         2|       104|        |2014/12/12T06:48:56.707|    0.412|2014/12/12T06:48:57.119| S1|
 10.252.108.212|    224.0.0.252|64145| 5355| 17|         2|       100|        |2014/12/12T06:49:32.384|    0.410|2014/12/12T06:49:32.794| S1|
 10.252.108.212|    224.0.0.252|59653| 5355| 17|         2|       100|        |2014/12/12T06:49:32.384|    0.410|2014/12/12T06:49:32.794| S1|
 10.252.108.212|    224.0.0.252|50107| 5355| 17|         2|       108|        |2014/12/12T06:05:01.204|    0.411|2014/12/12T06:05:01.615| S1|
 10.252.108.212| 10.252.108.255|  138|  138| 17|         1|       229|        |2014/12/12T06:13:31.547|    0.000|2014/12/12T06:13:31.547| S1|
 10.252.108.212| 10.252.108.255|  137|  137| 17|         9|       702|        |2014/12/12T06:38:10.570|   81.045|2014/12/12T06:39:31.615| S1|
 10.252.108.212| 10.252.108.255|  137|  137| 17|         3|       234|        |2014/12/12T06:59:34.650|    1.501|2014/12/12T06:59:36.151| S1|
 10.252.108.212| 10.252.108.255|  137|  137| 17|         9|       702|        |2014/12/12T06:48:56.706|   37.179|2014/12/12T06:49:33.885| S1|
 10.252.108.212| 10.252.108.255|  138|  138| 17|         2|       464|        |2014/12/12T06:01:33.544|  285.260|2014/12/12T06:06:18.804| S1|
 10.252.108.212| 10.252.108.255|  137|  137| 17|         3|       234|        |2014/12/12T06:05:01.204|    1.502|2014/12/12T06:05:02.706| S1|
 10.252.108.212| 10.252.108.255|  138|  138| 17|         2|       464|        |2014/12/12T06:21:18.811|  252.583|2014/12/12T06:25:31.394| S1|
 10.252.108.212| 10.252.108.255|  138|  138| 17|         2|       464|        |2014/12/12T06:36:18.818|   74.132|2014/12/12T06:37:32.950| S1|
 10.252.108.212| 10.252.108.255|  138|  138| 17|         2|       464|        |2014/12/12T06:49:34.529|  104.296|2014/12/12T06:51:18.825| S1|
 10.252.108.212|    224.0.0.252|58481| 5355| 17|         2|       104|        |2014/12/12T06:48:56.703|    0.412|2014/12/12T06:48:57.115| S2|
 10.252.108.212|    224.0.0.252|64145| 5355| 17|         2|       100|        |2014/12/12T06:49:32.380|    0.410|2014/12/12T06:49:32.790| S2|
 10.252.108.212|    224.0.0.252|59653| 5355| 17|         2|       100|        |2014/12/12T06:49:32.380|    0.410|2014/12/12T06:49:32.790| S2|
 10.252.108.212| 10.252.108.255|  137|  137| 17|         9|       702|        |2014/12/12T06:48:56.703|   37.178|2014/12/12T06:49:33.881| S2|
 10.252.108.212| 10.252.108.255|  138|  138| 17|         1|       229|        |2014/12/12T06:13:31.543|    0.000|2014/12/12T06:13:31.543| S2|
 10.252.108.212| 10.252.108.255|  138|  138| 17|         2|       464|        |2014/12/12T06:21:18.807|  252.583|2014/12/12T06:25:31.390| S2|
 10.252.108.212| 10.252.108.255|  138|  138| 17|         2|       464|        |2014/12/12T06:36:18.814|   74.132|2014/12/12T06:37:32.946| S2|
 10.252.108.212| 10.252.108.255|  138|  138| 17|         2|       464|        |2014/12/12T06:01:33.541|  285.259|2014/12/12T06:06:18.800| S2|
 10.252.108.212|    224.0.0.252|50896| 5355| 17|         2|       100|        |2014/12/12T06:38:10.567|    0.412|2014/12/12T06:38:10.979| S2|
 10.252.108.212|    224.0.0.252|61503| 5355| 17|         2|       100|        |2014/12/12T06:38:10.567|    0.412|2014/12/12T06:38:10.979| S2|
 10.252.108.212|    224.0.0.252|61467| 5355| 17|         2|       100|        |2014/12/12T06:38:27.839|    0.410|2014/12/12T06:38:28.249| S2|
 10.252.108.212|    224.0.0.252|53414| 5355| 17|         2|       100|        |2014/12/12T06:38:27.839|    0.410|2014/12/12T06:38:28.249| S2|
 10.252.108.212|    224.0.0.252|62092| 5355| 17|         2|       100|        |2014/12/12T06:39:30.108|    0.411|2014/12/12T06:39:30.519| S2|
 10.252.108.212|    224.0.0.252|50180| 5355| 17|         2|       100|        |2014/12/12T06:39:30.108|    0.411|2014/12/12T06:39:30.519| S2|
 10.252.108.212| 10.252.108.255|  137|  137| 17|         9|       702|        |2014/12/12T06:38:10.566|   81.045|2014/12/12T06:39:31.611| S2|
 10.252.108.212|    224.0.0.252|50107| 5355| 17|         2|       108|        |2014/12/12T06:05:01.201|    0.410|2014/12/12T06:05:01.611| S2|
 10.252.108.212| 10.252.108.255|  137|  137| 17|         3|       234|        |2014/12/12T06:05:01.200|    1.502|2014/12/12T06:05:02.702| S2|
 10.252.108.212| 10.252.108.255|  138|  138| 17|         2|       464|        |2014/12/12T06:49:34.525|  104.296|2014/12/12T06:51:18.821| S2|
